Keys,English (Canada),French (Canada)
##mainmenu_newgame_steambtn_description,Browse,Parcourir
,,
##mainmenu_language_steambtn_title,Browse,Parcourir
##mainmenu_language_steambtn_description,Steam Workshop,Steam Workshop
##mainmenu_language_steambtn_send,Send to workshop,Envoyer au workshop
##mainmenu_language_steambtn_resend,Resend to Workshop,Renvoyer au Workshop
##mainmenu_language_steambtn_go,Open on Workshop,Ouvrir sur le Workshop
##mainmenu_language_unnamed,<Unnamed localization>,<Localisation sans nom>
,,
MAPS,,
##map,Map,Carte
##map_noneselected,None selected,Aucune selection
,,
##map_creditisland_name,Credit Island,Ile de la Renommée
##map_creditisland_description,"Forged by the goodwill and generosity of nearly 30,000 souls - the legend says that digging under the crust of Credit Island will release the gentle souls trapped there for years.",Forgé de la bonne volonté et de la générosité de près de 30 000 âmes - la légende veut que creuser sous la croûte de l'ile de la renommée libérerait les âmes bienveillantes qui y sont piégées.
##map_colibri_name,Colibri,Colibri
##map_colibri_description,Two bricktron villages in bird's eye view of each other connected by meandering paths. Thread carefully.,"Deux villages Bricktrons en vue à vol d'oiseau l'un de l'autre, connectés par des chemins sinueux. Soyez vigilants."
##map_komorebi_name,Komorebi,Komorebi
##map_komorebi_description,Quickly! The enemy is close by! Will you overcome your foes in the forest-peppered island of Komorebi?,Vite! L'ennemi approche! Vainquerez-vous vos adversaires sur l'ile de Komorebi?
##map_orosivalley_name,Orosi Valley,Vallée des Orosis
##map_orosivalley_description,Deep trenches scar the land of this region like the stark divides of the local bricktron settlements.,Les rivalités entre Bricktrons se voient à travers les profondes cicatrices que leurs conflits ont causés dans cette région.
##map_tortuga_name,Tortuga,Tortuga
##map_tortuga_description,"Aeons ago, a mysterious power created an explosion at the center of this once great landmass, leaving a crater and a few small islands orbiting each other.","Il y a longtemps, une force mystérieuse dévasta le centre de cette ile, ne laissant qu'un cratère et plusieurs petites iles en orbites les unes autout des autres."
##map_plateau_name,Plateau Mont-Royal,Plateau Mont-Royal
##map_plateau_description,"At the center lies a plain where Bricktrons of all cultures congregate. Not all gatherings are peaceful, however.","En son centre se trouve une plaine sur laquelle les Bricktrons de toutes les cultures se rassemblent. Cependant, tous ces rassemblements ne sont pas dans un but pacifique."
##map_riverains_name,Riverains,Riverains
##map_riverains_description,Two bricktron villages on the banks watch across with suspicion. Who will dare claim the center?,Deux rives: deux villages bricktrons qui s'observent suspicieusement. Qui osera s'établir au centre?
##map_tresmuertos_name,Tres Muertos,Tres Muertos
##map_tresmuertos_description,Spooky Spooky!!!,Ça fait peur!
##map_troubledheaps_name,Troubled Heaps,Pagaille sur les Collines
##map_troubledheaps_description,This map was released with 0.2 that introduced Invasion mode. It is meant to stage a central point of defense.,"Introduite avec le mode Invasion lors de la version 0.2, cette carte a pour objectif d'ériger un point de défense central."
##map_zuma_name,Zuma,Zuma
##map_zuma_description,"Bricktrons bravely defend their land, but these twisted treeline are teeming with Corruptrons.","Les Bricktrons défendent bravement leurs terres, mais ces forêts foisonnent de Corruptrons."
##map_arecibo_name,Arecibo,Arecibo
##map_arecibo_description,"Nested in the central crater of Arecibo, the enemies could come from anywhere - with no obvious chokepoints to defend. Will your castle stand this ultimate test?","Établi dans le cratère central d'Arecibo, les ennemis peuvent surgir de n'importe où avec aucun goulot d'étranglement à défendre. Votre château tiendra-t-il le coup?"
##map_pineburg_name,Pineburg,Pin des Faubourgs
##map_pineburg_description,"This map was featured in the Kickstarter Trailer. It features a pre-built castle to explore, and several secondary build areas.","Cette carte fût révélée lors de la vidéo promotionnelle sur Kickstarter. Elle comprend un château déja construit à explorer, ainsi que plusieurs zones secondaires sur lesquelles bâtir."
##map_steppingstones_name,Stepping Stones,Pierres de Gué
##map_steppingstones_description,High-perched Bricktrons look down upon their inferior brethrens. Will the lowly Bricktrons revolt?,Des Bricktrons haut perchés jettent un regard hautain sur leurs semblables. Ces Bricktrons vont-ils se révolter?
##map_bigisland_name,Big Island,Grosse Ile
##map_bigisland_description,A square kilometer surface to challenge the limits of your construction abilities. Requires high performance PC.,Une surface d'un kilomètre carré pour mettre vos talents de constructeur à l'épreuve. Requiert un PC performant.
##map_exile_name,Exile,Exile
##map_exile_description,The tortuous landscape of this inhospitable island is a goulag for Bricktrons.,Cette ile aux reliefs tortueux et inhospitaliers est un goulag pour Bricktrons.
##map_nova_name,Nova,Nova
##map_nova_description,The inhabitants of Nova were masterful bridge builders. This archipelago is no welcoming place for Bricktrons afraid of heights.,Les habitants de Nova sont passés maitres dans l'art de construire des ponts. Cet archipel n'est pas acceuillant pour les Bricktrons qui ont peur des hauteurs.
##map_invictus_name,Invictus,Invictus
##map_invictus_description,"Perched on your heightened plateau, fend off attacks from three different fronts.","Perché sur un plateau, repoussez les attaques sur trois fronts différents."
##map_kairos_name,Kairos,Kairos
##map_kairos_description,The crater in the middle of these twisted landmasses has served as the arena to many battles.,Le cratère au milieu de ces terres meurtries fut le théâtre de nombreuses batailles.
##map_quasar_name,Quasar,Quasar
##map_quasar_description,"Several slopes at varying altitude make this the perfect island to build tall, vertical castles.",Les pentes à différentes altitudes font de cette ile l'endroit idéal pour bâtir des chateaux au design vertical.
##map_void_name,Void,Vide
##map_void_description,There is nothing here.,Le vide intersidéral.
##map_newmap,New Map,Nouvelle Carte
##map_newmap_description,Empty Map,Carte Vide
##map_newmap_forest,New Map Forest,Nouvelle Carte Forêt
##map_newmap_forest_description,Empty Map with a Forest Biome.,Carte Vierge avec un Biome de Forêt.
##map_newmap_desert,New Map Desert,Nouvelle Carte Désert
##map_newmap_desert_description,Empty Map with a Desert Biome.,Carte Vierge avec un Biome de Désert.
##map_newmap_winter,New Map Winter,Nouvelle Carte Hiver
##map_newmap_winter_description,Empty Map with a Winter Biome.,Carte Vierge avec un Biome Hivernal.
##map_apex_name,Apex,Apex
##map_apex_description,"Delicate flowers grow on the slopes of this mountain, honoring ancient warriors who once fought glorious battles here.",De délicates fleurs poussent sur les flancs de cette montagne en l'honneur d'anciens guerriers qui ont jadis combattu ici.
##map_pioneerpass_name,Pioneer Pass,Passage du Pionnier
##map_pioneerpass_description,Brave bricktron pioneers find themselves in unfamiliar new lands. What danger awaits them on the other side of this winding passage?,De brave pionniers bricktrons se retrouvent sur des terres inconnues. Quels dangers les attendent de l'autre coté de ce passage tortueux?
##map_helix_name,Helix,Helix
##map_helix_description,"A great mountain stands tall in the center of this frozen land, looming over the bricktrons below. Will they dare to climb it and claim its peak?","Une grande montagne domine ces terres glaciales, surplombant les bricktrons aux alentours. Vont-ils réussir à l'escalader et conquérir son sommet?"
,,
LOAD GAME MENU,,
##mainmenu_loadgame,Load Game,Charger une partie
##mainmenu_loadgame_info,Continue a previously saved game,Continuer une partie antérieure
,,
SINGLEPLAYER MENU,,
##mainmenu_singleplayer,Singleplayer,Nouvelle Partie
##mainmenu_singleplayer_info,Play a game on your own,Débuter une partie à un seul joueur
,,
MULTIPLAYER MENU,,
##mainmenu_multiplayer,Multiplayer,Multijoueur
##mainmenu_multiplayer_enterlobby,Enter lobby,Joindre la partie
##mainmenu_multiplayer_selectgame,Select game,Sélectionner une partie
##mainmenu_multiplayer_info,Play a game with others,Jouer avec des amis
##mainmenu_multiplayer_joingame,Join,Rejoindre
##mainmenu_multiplayer_joingame_info,Join a game,Rejoindre une partie
##mainmenu_multiplayer_hostgame,Host,Héberger
##mainmenu_multiplayer_hostgame_info,Host a game,Héberger une partie
##mainmenu_multiplayer_hostnewgame,Host (New Game),Héberger (Nouvelle Partie)
##mainmenu_multiplayer_hostloadgame,Host (Load Game),Héberger (Charger une Partie)
##mainmenu_multiplayer_backtolobby,Back to lobby,Retour au lobby
,,
##mainmenu_multiplayer_localservers,Local Server List,Liste de Serveurs Privés
##mainmenu_multiplayer_localservers_info,Join a game in your local area network,Joindre une partie en réseau local
##mainmenu_multiplayer_publicservers,Public Server List,Liste de Serveurs Publiques
##mainmenu_multiplayer_publicservers_info,Browse public games online,Explorer les parties publiques
##mainmenu_multiplayer_noservers,No servers found.,Aucun serveur trouvé.
##mainmenu_multiplayer_customaddress,Custom Address,Entrer une Adresse
##mainmenu_multiplayer_customaddress_info,Connect to a specific address,Connectez-vous à une addresse spécifique
##mainmenu_multiplayer_customaddress_ip,IP Address,Adresse IP
##mainmenu_multiplayer_customaddress_none,None,Aucun
##mainmenu_multiplayer_customaddress_port,Port,Port
##mainmenu_multiplayer_join,Join,Rejoindre
##mainmenu_multiplayer_cancel,Cancel,Annuler
##mainmenu_multiplayer_players,Players,Joueurs
##mainmenu_multiplayer_showfull,Show full,Afficher: plein
##mainmenu_multiplayer_showfull_info,Shows or hides servers that are full,Afficher ou cacher les serveurs pleins
,,
##mainmenu_multiplayer_customaddress_ip,IP Address,Adresse IP
##mainmenu_multiplayer_customaddress_port,Port,Port
##mainmenu_multiplayer_error,Multiplayer Error,Erreur
##mainmenu_multiplayer_error_join_failure,Could not connect to server.,Échec de connexion au serveur.
##mainmenu_multiplayer_error_host_failure,Could not start server. Port #x already occupied.,Échec d'initialisation du serveur. Le port #x est déjà occupé.
##mainmenu_multiplayer_error_client_failure,Server has stopped.,Le serveur a cessé d'exister.
##mainmenu_multiplayer_error_ok,Ok,Ok
,,
##mainmenu_multiplayer_lobby,Lobby,Lobby
##mainmenu_multiplayer_lobby_ashost,Lobby (As Host),Lobby (Comme hôte)
##mainmenu_multiplayer_lobby_asclient,Lobby (As Client),Lobby (en tant que client)
##mainmenu_multiplayer_host,Host,Hôte
##mainmenu_multiplayer_playerjoined,#x has joined the game.,#x a rejoint la partie.
##mainmenu_multiplayer_playerleft,#x has left the game.,#x a quitté la partie.
##mainmenu_multiplayer_playerrenamed,#x1 has renamed from #x2.,#x1 s'est renommé de #x2.
##mainmenu_multiplayer_startgame,Start Game,Lancer la partie
##mainmenu_multiplayer_leave,Leave,Quitter
##mainmenu_multiplayer_privacy,Privacy,Intimité
##mainmenu_multiplayer_privacy_private,Private,Privée
##mainmenu_multiplayer_privacy_friendsonly,Friends only,Amis seulement
##mainmenu_multiplayer_privacy_public,Public,Publique
##mainmenu_multiplayer_lobby_leaving,Leaving lobby,Sortie du lobby
##mainmenu_multiplayer_lobby_leaving_info,Please wait...,Veuillez patentier...
##mainmenu_multiplayer_lobby_player_kicked, has been kicked by the host., s'est fait kicker par l'hôte.
##mainmenu_multiplayer_chatbox_intro,"Press ""Enter"" to chat with other players.","Appuyez sur ""Enter"" pour écrire aux autres joueurs."
##mainmenu_multiplayer_chatbox_player_left,has left the game., a quitté la partie.
##mainmenu_multiplayer_chatbox_entertext,Enter text...,Écrivez votre message...
,,
##mainmenu_multiplayer_error_playerkicked,You were kicked by the host.\n(NetworkError.PlayerKicked),Vous avez été éjecté par le hôte.\n(NetworkError.PlayerKicked)
##mainmenu_multiplayer_error_badmessage,Not a data message.\n(NetworkError.BadMessage),Le message ne contient pas de données.\n(NetworkError.BadMessage)
##mainmenu_multiplayer_error_crcmismatch,The ConnectionConfig does not match the other endpoint.\n(NetworkError.CRCMismatch),La configuration de la connection n'est pas la même.\n(NetworkError.CRCMismatch)
##mainmenu_multiplayer_error_dnsfailure,The address supplied to connect to was invalid or could not be resolved.\n(NetworkError.DNSFailure),L'addresse n'est pas valide ou n'a pu être résolue.\n(NetworkError.DNSFailure)
##mainmenu_multiplayer_error_messagetoolong,The message is too long to fit the buffer.\n(NetworkError.MessageTooLong),Le message était trop long pour le tampon.\n(NetworkError.MessageTooLong)
##mainmenu_multiplayer_error_noresources,Not enough resources are available to process this request.\n(NetworkError.NoResources),Il n'y a pas assez de resources pour répondre à la requête.\n(NetworkError.NoResources)
##mainmenu_multiplayer_error_timeout,Connection timed out.\n(NetworkError.Timeout),La connection est périmée.\n(NetworkError.Timeout)
##mainmenu_multiplayer_error_usageerror,A function was called with inappropriate parameter values.\n(NetworkError.UsageError),Une fonction a été appellée avec des paramètres érronés.\n(NetworkError.UsageError)
##mainmenu_multiplayer_error_versionmismatch,The protocol versions are not compatible. Bad library versions?\n(NetworkError.VersionMismatch),La version des protocols n'est pas compatible. Mauvaises librairies?\n(NetworkError.VersionMismatch)
##mainmenu_multiplayer_error_wrongchannel,The specified channel doesn't exist.\n(NetworkError.WrongChannel),Le canal spécifié n'existe pas.\n(NetworkError.WrongChannel)
##mainmenu_multiplayer_error_wrongconnection,The specified connectionId doesn't exist.\n(NetworkError.WrongConnection),L'identifiant de connection n'existe pas.\n(NetworkError.WrongConnection)
##mainmenu_multiplayer_error_wronghost,The specified host not available.\n(NetworkError.WrongHost),L'hôte n'est pas disponible.\n(NetworkError.WrongHost)
##mainmenu_multiplayer_error_wrongoperation,Operation is not supported.\n(NetworkError.WrongOperation),L'opération n'est pas supportée.\n(NetworkError.WrongOperation)
##mainmenu_multiplayer_error_ok,Ok,Ok
,,
##mainmenu_multiplayer_hosting,Hosting Game,Hôte de la Partie
##mainmenu_multiplayer_abort,Abort,Abandonner
,,
##mainmenu_creditisland,Credit Island,Ile de la Renommée
##mainmenu_creditisland_info,In honor of our backers!,En l'honneur de nos backers!
,,
WORLD EDITOR,,
##mode_worldeditor_terrain,Terrain,Terrain
##mode_worldeditor_terrain_island,Island,Ile
##mode_worldeditor_terrain_island_help,"Adds, levels or removes island.",Ajoute ou enlève une ile.
##mode_worldeditor_terrain_island_islandbrush,Island Brush,Pinceau à Ile
##mode_worldeditor_terrain_island_islandbrush_dontcreate,Don't create,Ne pas créer
##mode_worldeditor_terrain_island_islandbrush_dontlower,Don't lower,Ne pas baisser
##mode_worldeditor_terrain_island_islandbrush_dontraise,Don't raise,Ne pas surélever
,,
##mode_worldeditor_terrain_underside,Underside,Dessous d'Ile
##mode_worldeditor_terrain_underside_help,Generates island underside.,Génère du terrain sous l'ile
##mode_worldeditor_terrain_underside_actions,Underside Actions,Actions de Dessous d'Ile
##mode_worldeditor_terrain_underside_actions_generate,Generate Underside,Générer du Dessous d'Ile
##mode_worldeditor_terrain_underside_options,Underside Options,Options de Dessous d'Ile
##mode_worldeditor_terrain_underside_options_thickness,Thickness,Épaisseur
##mode_worldeditor_terrain_underside_options_randomness,Randomness,Bruit
##mode_worldeditor_terrain_underside_options_level,Level:,Nivelage:
##mode_worldeditor_terrain_underside_options_level_fromcamera,From Camera,À Partir de la Grille
##mode_worldeditor_terrain_underside_options_level_fromgrid,From Grid,À Partir de la Caméra
##mode_worldeditor_terrain_underside_options_level_custom,Custom,Sur Mesure
##mode_worldeditor_terrain_underside_options_calculatedbounds,Calculated Bounds,Limites
##mode_worldeditor_terrain_underside_options_alignment,Alignment,Alignement
##mode_worldeditor_terrain_underside_options_alignment_none,None,Aucun
##mode_worldeditor_terrain_underside_options_alignment_top,Top,Sommet
##mode_worldeditor_terrain_underside_options_alignment_middle,Middle,Milieu
##mode_worldeditor_terrain_underside_options_alignment_bottom,Bottom,Fond
##mode_worldeditor_terrain_terraintype,Terrain Type,Type de Terrain
##mode_worldeditor_terrain_grass,Grass,Gazon
##mode_worldeditor_terrain_snow,Snow,Neige
##mode_worldeditor_terrain_pavement,Pavement,Pavé
##mode_worldeditor_terrain_thickgrass,Thick Grass,Herbe Longue
##mode_worldeditor_terrain_clover,Clover,Trèfle
##mode_worldeditor_terrain_parchedearth,Parched Earth,Terre Craquelé
##mode_worldeditor_terrain_coarsesand,Coarse Sand,Sable Grossier
##mode_worldeditor_terrain_sand,Sand,Sable
##mode_worldeditor_terrain_finesand,Fine Sand,Sable Fin
##mode_worldeditor_terrain_compactedsnow,Frosted Path,Chemin Glacé
##mode_worldeditor_terrain_powderysnow,Blizzard Dunes,Dunes Venteuses
##mode_worldeditor_terrain_crunchysnow,Packed Powder,Poudre Compacte
##mode_worldeditor_terrain_stickysnow,Fresh Snow,Neige Fraîche
,,
##mode_worldeditor_terrain_elevation,Elevation,Élévation
##mode_worldeditor_terrain_elevation_help,Adds or remove island volume.,Ajoute ou enlève du volume à l'ile.
##mode_worldeditor_terrain_elevation_brush,Elevation Brush,Pinceau à Élévation
,,
##mode_worldeditor_terrain_plateau,Plateau,Plateau
##mode_worldeditor_terrain_plateau_help,Plateau's island volume.,Aplanit l'Ile.
##mode_worldeditor_terrain_plateau_brush,Plateau Brush,Pinceau à Aplanissement
##mode_worldeditor_terrain_plateau_brush_lockheight,Lock Height,Verrouiller la Hauteur
,,
##mode_worldeditor_terrain_smooth,Smooth,Lisser
##mode_worldeditor_terrain_smooth_help,Smoothes island volume.,Lisse l'Ile.
##mode_worldeditor_terrain_smooth_brush,Smooth Brush,Pinceau à Lissage
,,
##mode_worldeditor_terrain_grass,Grass,Gazon
##mode_worldeditor_terrain_grass_help,Adds or removes grass.,Ajoute ou enlève du gazon.
##mode_worldeditor_terrain_grass_brush,Grass Brush,Pinceau à Gazon
,,
##mode_worldeditor_terrain_tree,Tree,Arbre
##mode_worldeditor_terrain_tree_help,Adds or removes trees.,Ajoute ou enlève des arbres.
##mode_worldeditor_terrain_tree_brush,Tree Brush,Pinceau à Arbres
,,
##mode_worldeditor_terrain_plant,Plant,Plante
##mode_worldeditor_terrain_plant_help,Adds or removes plants.,Ajoute ou enlève des plantes
##mode_worldeditor_terrain_plant_brush,Plant Brush,Pinceau à Plantes
##mode_worldeditor_terrain_plant_brush_onlyongrass,Only on grass,Seulement sur du gazon.
##mode_worldeditor_terrain_planttype,Plant Type,Type de Plante
##mode_worldeditor_terrain_plant1,Siderasis,Siderasis
##mode_worldeditor_terrain_plant2,Polygatum,Polygatum
##mode_worldeditor_terrain_plant3,Monstera,Monstera
##mode_worldeditor_terrain_plant4,Trillium,Trille
##mode_worldeditor_terrain_plant5,Hosta,Hosta
##mode_worldeditor_terrain_plant6,Aloe,Aloès
##mode_worldeditor_terrain_desertplant1,Siderasis,Siderasis
##mode_worldeditor_terrain_desertplant2,Opuntia,Opuntia
##mode_worldeditor_terrain_desertplant3,Salicornia,Salicorne
##mode_worldeditor_terrain_desertplant4,Trillium,Trille
##mode_worldeditor_terrain_desertplant5,Hosta,Hosta
##mode_worldeditor_terrain_desertplant6,Aloe,Aloès
##mode_worldeditor_terrain_winterplant1,Siderasis,Siderasis
##mode_worldeditor_terrain_winterplant2,Busserole,Busserole
##mode_worldeditor_terrain_winterplant3,Artemisia,Artemisia
##mode_worldeditor_terrain_winterplant4,Trillium,Trille
##mode_worldeditor_terrain_winterplant5,Cerastium,Cerastium
##mode_worldeditor_terrain_winterplant6,Aloe,Aloès
,,
##mode_worldeditor_terrain_boulder,Boulder,Rocher
##mode_worldeditor_terrain_boulder_help,Adds or removes boulders.,Ajoute ou enlève des rochers.
##mode_worldeditor_terrain_boulder_brush,Boulder Brush,Pinceau à Rochers
,,
##mode_worldeditor_terrain_iron,Iron,Fer
##mode_worldeditor_terrain_iron_help,Adds or removes iron.,Ajoute ou enlève du fer.
##mode_worldeditor_terrain_iron_brush,Iron Brush,Pinceau à Fer
,,
##mode_worldeditor_terrain_brimstone,Brimstone,Soufre
##mode_worldeditor_terrain_brimstone_help,Adds or removes brimstone.,Ajoute ou enlève du soufre
##mode_worldeditor_terrain_brimstone_brush,Brimstone Brush,Pinceau à Soufre
,,
##mode_worldeditor_terrain_brush_size,Size,Taille
##mode_worldeditor_terrain_brush_intensity,Intensity,Intensité
##mode_worldeditor_terrain_brush_leveloverride,Level override,Moyenne au nivelage
##mode_worldeditor_terrain_brush_useoverride,Use level override,Utiliser la moyenne au nivelage
##mode_worldeditor_terrain_brush_edgedistance,Edge distance,Distance de la bordure
,,
##mode_worldeditor_markers,Markers,Marqueurs
##mode_worldeditor_markers_player,Player,Joueur
##mode_worldeditor_markers_player_spawns,Player Spawns,Points de Départ du Joueur
##mode_worldeditor_markers_player_marker,Crystal - Player Spawn,Cristal - Point de Départ du Joueur
##mode_worldeditor_markers_player_help,Adds or removes players spawns,Ajoute ou enlève des points de départ pour le joueur.
,,
##mode_worldeditor_markers_crystal,Crystal,Cristal
##mode_worldeditor_markers_crystal_locations,Crystals,Cristaux
##mode_worldeditor_markers_crystal_marker,Shard,Fragment
##mode_worldeditor_markers_crystal_help,Adds or removes crystals,Ajoute ou enlève des cristaux.
,,
##mode_worldeditor_markers_enemy,Enemy,Ennemi
##mode_worldeditor_markers_enemy_spawns,Enemy Spawns,Points de Départ Ennemi
##mode_worldeditor_markers_enemy_marker,Corruptron Spawn Point,Point de Départ Ennemi
##mode_worldeditor_markers_enemy_help,Adds or removes Corruptron spawns.,Ajoute ou enlève des points de Départ pour Corruptrons.
,,
##mode_worldeditor_time,Time,Temps
##mode_worldeditor_time_pause,Pause,Pause
##mode_worldeditor_time_now,Now,Maintenant
,,
##mode_worldeditor_map,Map,Carte
##mode_worldeditor_map_preview,Preview,Prévisualisation
,,
##mode_worldeditor_grid,Grid,Grille
##mode_worldeditor_grid_visible,Visible,Visible
##mode_worldeditor_grid_opacity,Opacity,Opacité
##mode_worldeditor_grid_heightlocks,Height locks to camera,Hauteur basée sur la caméra
##mode_worldeditor_grid_height,Height,Hauteur
,,
##mode_worldeditor_modes,Modes,Modes
##mode_worldeditor_modes_requirements,Requirements,Requis
##mode_worldeditor_modes_playerstart,Player Starting Point,Point de Départ du Joueur
##mode_worldeditor_modes_corruptronspawn,Corruptron Spawn Point,Point de Départ des Corruptrons
,,
##mode_worldeditor_save,Save,Sauvegarder
##mode_worldeditor_save_title,Title & Description,Titre & Description
##mode_worldeditor_save_update,Update,Mise à Jour
,,
##mode_worldeditor_workshop_steam,Steam Workshop,Steam Workshop
##mode_worldeditor_workshop,Workshop,Workshop
##mode_worldeditor_workshop_notes,Steam Workshop: Release Notes,Steam Workshop: Changements
##mode_worldeditor_workshop_notes_info,Type in your changes to this version of the item.,Spécifiez vos changements apportés à cette version de l'item.
##mode_worldeditor_workshop_csonsteam,Castle Story on Steam,Castle Story sur Steam
##mode_worldeditor_workshop_info,Info,Info
##mode_worldeditor_workshop_info_text,Use the Steam Workshop to easily share and update your maps created using the world editor.,Utilisez le Steam Workshop pour partagez vos cartes facilement.
##mode_worldeditor_workshop_visibility,Visibility,Visibilité
##mode_worldeditor_workshop_visibility_private,Private,Privé
##mode_worldeditor_workshop_visibility_friends,Friends,Amis
##mode_worldeditor_workshop_visibility_public,Public,Publique
##mode_worldeditor_workshop_savecreate,"Save, Create and publish","Sauvegarder, Créer et Publier."
##mode_worldeditor_workshop_savepublish,Save and Publish,Sauvegarder et Publier
##mode_worldeditor_workshop_publishmenu_publish,Publish,Publier
##mode_worldeditor_workshop_publishmenu_cancel,Cancel,Annuler
##mode_worldeditor_workshop_publishmenu_warnings,Warnings,Alertes
##mode_worldeditor_workshop_publishmenu_cannotpublish,Cannot save:,Impossible de sauvegarder:
##mode_worldeditor_workshop_publishmenu_invalidtitle,Invalid title.,Titre invalide.
##mode_worldeditor_workshop_disabled_error,Error,Erreur
##mode_worldeditor_workshop_disabled_error_text,Open Steam and login to your account to publish on the Workshop.,Ouvrez Steam et connectez-vous sur le Workshop pour publier.
##mode_worldeditor_workshop_steamworkshop_gotoitem,Go to item on Workshop,Ouvrir l'item sur le Workshop
##mode_worldeditor_workshop_steamworkshop_done,Done,Terminé
##mode_worldeditor_workshop_none,None,Aucun
##mode_worldeditor_workshop_error,Error,Erreur
##mode_worldeditor_workshop_error_eula_info,"Could not send item to Workshop.\n<b>Steam is requesting that you agree to their legal agreement (EULA).</b>\n\nIf the button below does not work, please go to:\nhttp://steamcommunity.com/workshop/workshoplegalagreement/?appid=227860","Une erreur est survenue lors du processus de chargement de votre item sur le Workshop.\n<b>Steam vous demande de bien vouloir signer leurs termes et conditions du contrat de licence destiné à l'utilisateur final (CLUF).</b>\n\nSi le boutton ci-bas ne fonctionne pas, visitez le:\nhttp://steamcommunity.com/workshop/workshoplegalagreement/?appid=227860"
##mode_worldeditor_workshop_error_eula_open,Open the EULA in Steam,Ouvrir le CLUF dans Steam
##mode_worldeditor_workshop_error_eula_ok,Ok,Ok
##mode_worldeditor_workshop_item_open,Open the item page in Steam,Ouvrir la page de l'item dans Steam
##mode_worldeditor_workshop_item,Item,Item
##mode_worldeditor_workshop_publish_info,Please wait...\nYour item is being created on and published to the Steam Workshop.,Veuillez patienter...\nVotre item est en processus de création et de publication vers le Steam Workshop.
##mode_worldeditor_workshop_saved,Saved to disk.,Sauvegardé sur le disque.
