Keys,French (Canada)
##mainmenu_newgame_header_steamworkshop,Steam Workshop
##mainmenu_newgame_header_steamworkshop_info,Cartes auxquelles vous êtes abonné
,
##mainmenu_newgame_steambtn_info,Téléchargez des cartes \nfaites par d'autres joueurs!
##mainmenu_newgame_steambtn_title,Steam Workshop
##mainmenu_newgame_steambtn_description,Parcourir
,
##mainmenu_language_steambtn_title,Parcourir
##mainmenu_language_steambtn_description,Steam Workshop
##mainmenu_language_steambtn_send,Envoyer au workshop
##mainmenu_language_steambtn_resend,Renvoyer au Workshop
##mainmenu_language_steambtn_go,Ouvrir sur le Workshop
##mainmenu_language_unnamed,<Localisation sans nom>
,
MAPS,
##map,Carte
##map_noneselected,Aucune selection
,
##map_creditisland_name,Ile de la Renommée
##map_creditisland_description,Forgé de la bonne volonté et de la générosité de près de 30 000 âmes - la légende veut que creuser sous la croûte de l'ile de la renommée libérerait les âmes bienveillantes qui y sont piégées.
##map_colibri_name,Colibri
##map_colibri_description,"Deux villages Bricktrons en vue à vol d'oiseau l'un de l'autre, connectés par des chemins sinueux. Soyez vigilants."
##map_komorebi_name,Komorebi
##map_komorebi_description,Vite! L'ennemi approche! Vainquerez-vous vos adversaires sur l'ile de Komorebi?
##map_orosivalley_name,Vallée des Orosis
##map_orosivalley_description,Les rivalités entre Bricktrons se voient à travers les profondes cicatrices que leurs conflits ont causés dans cette région.
##map_tortuga_name,Tortuga
##map_tortuga_description,"Il y a longtemps, une force mystérieuse dévasta le centre de cette ile, ne laissant qu'un cratère et plusieurs petites iles en orbites les unes autout des autres."
##map_plateau_name,Plateau Mont-Royal
##map_plateau_description,"En son centre se trouve une plaine sur laquelle les Bricktrons de toutes les cultures se rassemblent. Cependant, tous ces rassemblements ne sont pas dans un but pacifique."
##map_riverains_name,Riverains
##map_riverains_description,Deux rives: deux villages bricktrons qui s'observent suspicieusement. Qui osera s'établir au centre?
##map_tresmuertos_name,Tres Muertos
##map_tresmuertos_description,Ça fait peur!
##map_troubledheaps_name,Pagaille sur les Collines
##map_troubledheaps_description,"Introduite avec le mode Invasion lors de la version 0.2, cette carte a pour objectif d'ériger un point de défense central."
##map_zuma_name,Zuma
##map_zuma_description,"Les Bricktrons défendent bravement leurs terres, mais ces forêts foisonnent de Corruptrons."
##map_arecibo_name,Arecibo
##map_arecibo_description,"Établi dans le cratère central d'Arecibo, les ennemis peuvent surgir de n'importe où avec aucun goulot d'étranglement à défendre. Votre château tiendra-t-il le coup?"
##map_pineburg_name,Pin des Faubourgs
##map_pineburg_description,"Cette carte fût révélée lors de la vidéo promotionnelle sur Kickstarter. Elle comprend un château déja construit à explorer, ainsi que plusieurs zones secondaires sur lesquelles bâtir."
##map_steppingstones_name,Pierres de Gué
##map_steppingstones_description,Des Bricktrons haut perchés jettent un regard hautain sur leurs semblables. Ces Bricktrons vont-ils se révolter?
##map_bigisland_name,Grosse Ile
##map_bigisland_description,Une surface d'un kilomètre carré pour mettre vos talents de constructeur à l'épreuve. Requiert un PC performant.
##map_exile_name,Exile
##map_exile_description,Cette ile aux reliefs tortueux et inhospitaliers est un goulag pour Bricktrons.
##map_nova_name,Nova
##map_nova_description,Les habitants de Nova sont passés maitres dans l'art de construire des ponts. Cet archipel n'est pas acceuillant pour les Bricktrons qui ont peur des hauteurs.
##map_invictus_name,Invictus
##map_invictus_description,"Perché sur un plateau, repoussez les attaques sur trois fronts différents."
##map_kairos_name,Kairos
##map_kairos_description,Le cratère au milieu de ces terres meurtries fut le théâtre de nombreuses batailles.
##map_quasar_name,Quasar
##map_quasar_description,Les pentes à différentes altitudes font de cette ile l'endroit idéal pour bâtir des chateaux au design vertical.
##map_void_name,Vide
##map_void_description,Le vide intersidéral.
##map_newmap,Nouvelle Carte
##map_newmap_description,Carte Vide
##map_newmap_forest,Nouvelle Carte Forêt
##map_newmap_forest_description,Carte Vierge avec un Biome de Forêt.
##map_newmap_desert,Nouvelle Carte Désert
##map_newmap_desert_description,Carte Vierge avec un Biome de Désert.
##map_newmap_winter,Nouvelle Carte Hiver
##map_newmap_winter_description,Carte Vierge avec un Biome Hivernal.
##map_apex_name,Apex
##map_apex_description,De délicates fleurs poussent sur les flancs de cette montagne en l'honneur d'anciens guerriers qui ont jadis combattu ici.
##map_pioneerpass_name,Passage du Pionnier
##map_pioneerpass_description,De brave pionniers bricktrons se retrouvent sur des terres inconnues. Quels dangers les attendent de l'autre coté de ce passage tortueux?
##map_helix_name,Helix
##map_helix_description,"Une grande montagne domine ces terres glaciales, surplombant les bricktrons aux alentours. Vont-ils réussir à l'escalader et conquérir son sommet?"
,
LOAD GAME MENU,
##mainmenu_loadgame,Charger une partie
##mainmenu_loadgame_info,Continuer une partie antérieure
,
SINGLEPLAYER MENU,
##mainmenu_singleplayer,Nouvelle Partie
##mainmenu_singleplayer_info,Débuter une partie à un seul joueur
,
MULTIPLAYER MENU,
##mainmenu_multiplayer,Multijoueur
##mainmenu_multiplayer_enterlobby,Joindre la partie
##mainmenu_multiplayer_selectgame,Sélectionner une partie
##mainmenu_multiplayer_info,Jouer avec des amis
##mainmenu_multiplayer_joingame,Rejoindre
##mainmenu_multiplayer_joingame_info,Rejoindre une partie
##mainmenu_multiplayer_hostgame,Héberger
##mainmenu_multiplayer_hostgame_info,Héberger une partie
##mainmenu_multiplayer_hostnewgame,Héberger (Nouvelle Partie)
##mainmenu_multiplayer_hostloadgame,Héberger (Charger une Partie)
##mainmenu_multiplayer_backtolobby,Retour au lobby
,
##mainmenu_multiplayer_localservers,Liste de Serveurs Privés
##mainmenu_multiplayer_localservers_info,Joindre une partie en réseau local
##mainmenu_multiplayer_publicservers,Liste de Serveurs Publiques
##mainmenu_multiplayer_publicservers_info,Explorer les parties publiques
##mainmenu_multiplayer_noservers,Aucun serveur trouvé.
##mainmenu_multiplayer_customaddress,Entrer une Adresse
##mainmenu_multiplayer_customaddress_info,Connectez-vous à une addresse spécifique
##mainmenu_multiplayer_customaddress_ip,Adresse IP
##mainmenu_multiplayer_customaddress_none,Aucun
##mainmenu_multiplayer_customaddress_port,Port
##mainmenu_multiplayer_join,Rejoindre
##mainmenu_multiplayer_cancel,Annuler
##mainmenu_multiplayer_players,Joueurs
##mainmenu_multiplayer_showfull,Afficher: plein
##mainmenu_multiplayer_showfull_info,Afficher ou cacher les serveurs pleins
,
##mainmenu_multiplayer_customaddress_ip,Adresse IP
##mainmenu_multiplayer_customaddress_port,Port
##mainmenu_multiplayer_error,Erreur
##mainmenu_multiplayer_error_join_failure,Échec de connexion au serveur.
##mainmenu_multiplayer_error_host_failure,Échec d'initialisation du serveur. Le port #x est déjà occupé.
##mainmenu_multiplayer_error_client_failure,Le serveur a cessé d'exister.
##mainmenu_multiplayer_error_ok,Ok
,
##mainmenu_multiplayer_lobby,Lobby
##mainmenu_multiplayer_lobby_ashost,Lobby (Comme hôte)
##mainmenu_multiplayer_lobby_asclient,Lobby (en tant que client)
##mainmenu_multiplayer_host,Hôte
##mainmenu_multiplayer_playerjoined,#x a rejoint la partie.
##mainmenu_multiplayer_playerleft,#x a quitté la partie.
##mainmenu_multiplayer_playerrenamed,#x1 s'est renommé de #x2.
##mainmenu_multiplayer_startgame,Lancer la partie
##mainmenu_multiplayer_leave,Quitter
##mainmenu_multiplayer_privacy,Intimité
##mainmenu_multiplayer_privacy_private,Privée
##mainmenu_multiplayer_privacy_friendsonly,Amis seulement
##mainmenu_multiplayer_privacy_public,Publique
##mainmenu_multiplayer_lobby_leaving,Sortie du lobby
##mainmenu_multiplayer_lobby_leaving_info,Veuillez patentier...
##mainmenu_multiplayer_lobby_player_kicked, s'est fait kicker par l'hôte.
##mainmenu_multiplayer_chatbox_intro,"Appuyez sur ""Enter"" pour écrire aux autres joueurs."
##mainmenu_multiplayer_chatbox_player_left, a quitté la partie.
##mainmenu_multiplayer_chatbox_entertext,Écrivez votre message...
,
##mainmenu_multiplayer_error_playerkicked,Vous avez été éjecté par le hôte.\n(NetworkError.PlayerKicked)
##mainmenu_multiplayer_error_badmessage,Le message ne contient pas de données.\n(NetworkError.BadMessage)
##mainmenu_multiplayer_error_crcmismatch,La configuration de la connection n'est pas la même.\n(NetworkError.CRCMismatch)
##mainmenu_multiplayer_error_dnsfailure,L'addresse n'est pas valide ou n'a pu être résolue.\n(NetworkError.DNSFailure)
##mainmenu_multiplayer_error_messagetoolong,Le message était trop long pour le tampon.\n(NetworkError.MessageTooLong)
##mainmenu_multiplayer_error_noresources,Il n'y a pas assez de resources pour répondre à la requête.\n(NetworkError.NoResources)
##mainmenu_multiplayer_error_timeout,La connection est périmée.\n(NetworkError.Timeout)
##mainmenu_multiplayer_error_usageerror,Une fonction a été appellée avec des paramètres érronés.\n(NetworkError.UsageError)
##mainmenu_multiplayer_error_versionmismatch,La version des protocols n'est pas compatible. Mauvaises librairies?\n(NetworkError.VersionMismatch)
##mainmenu_multiplayer_error_wrongchannel,Le canal spécifié n'existe pas.\n(NetworkError.WrongChannel)
##mainmenu_multiplayer_error_wrongconnection,L'identifiant de connection n'existe pas.\n(NetworkError.WrongConnection)
##mainmenu_multiplayer_error_wronghost,L'hôte n'est pas disponible.\n(NetworkError.WrongHost)
##mainmenu_multiplayer_error_wrongoperation,L'opération n'est pas supportée.\n(NetworkError.WrongOperation)
##mainmenu_multiplayer_error_ok,Ok
,
##mainmenu_multiplayer_hosting,Hôte de la Partie
##mainmenu_multiplayer_abort,Abandonner
,
##mainmenu_creditisland,Ile de la Renommée
##mainmenu_creditisland_info,En l'honneur de nos backers!
,
WORLD EDITOR,
##mode_worldeditor_terrain,Terrain
##mode_worldeditor_terrain_island,Ile
##mode_worldeditor_terrain_island_help,Ajoute ou enlève une ile.
##mode_worldeditor_terrain_island_islandbrush,Pinceau à Ile
##mode_worldeditor_terrain_island_islandbrush_dontcreate,Ne pas créer
##mode_worldeditor_terrain_island_islandbrush_dontlower,Ne pas baisser
##mode_worldeditor_terrain_island_islandbrush_dontraise,Ne pas surélever
,
##mode_worldeditor_terrain_underside,Dessous d'Ile
##mode_worldeditor_terrain_underside_help,Génère du terrain sous l'ile
##mode_worldeditor_terrain_underside_actions,Actions de Dessous d'Ile
##mode_worldeditor_terrain_underside_actions_generate,Générer du Dessous d'Ile
##mode_worldeditor_terrain_underside_options,Options de Dessous d'Ile
##mode_worldeditor_terrain_underside_options_thickness,Épaisseur
##mode_worldeditor_terrain_underside_options_randomness,Bruit
##mode_worldeditor_terrain_underside_options_level,Nivelage:
##mode_worldeditor_terrain_underside_options_level_fromcamera,À Partir de la Grille
##mode_worldeditor_terrain_underside_options_level_fromgrid,À Partir de la Caméra
##mode_worldeditor_terrain_underside_options_level_custom,Sur Mesure
##mode_worldeditor_terrain_underside_options_calculatedbounds,Limites
##mode_worldeditor_terrain_underside_options_alignment,Alignement
##mode_worldeditor_terrain_underside_options_alignment_none,Aucun
##mode_worldeditor_terrain_underside_options_alignment_top,Sommet
##mode_worldeditor_terrain_underside_options_alignment_middle,Milieu
##mode_worldeditor_terrain_underside_options_alignment_bottom,Fond
##mode_worldeditor_terrain_terraintype,Type de Terrain
##mode_worldeditor_terrain_grass,Gazon
##mode_worldeditor_terrain_snow,Neige
##mode_worldeditor_terrain_pavement,Pavé
##mode_worldeditor_terrain_thickgrass,Herbe Longue
##mode_worldeditor_terrain_clover,Trèfle
##mode_worldeditor_terrain_parchedearth,Terre Craquelé
##mode_worldeditor_terrain_coarsesand,Sable Grossier
##mode_worldeditor_terrain_sand,Sable
##mode_worldeditor_terrain_finesand,Sable Fin
##mode_worldeditor_terrain_compactedsnow,Chemin Glacé
##mode_worldeditor_terrain_powderysnow,Dunes Venteuses
##mode_worldeditor_terrain_crunchysnow,Poudre Compacte
##mode_worldeditor_terrain_stickysnow,Neige Fraîche
,
##mode_worldeditor_terrain_elevation,Élévation
##mode_worldeditor_terrain_elevation_help,Ajoute ou enlève du volume à l'ile.
##mode_worldeditor_terrain_elevation_brush,Pinceau à Élévation
,
##mode_worldeditor_terrain_plateau,Plateau
##mode_worldeditor_terrain_plateau_help,Aplanit l'Ile.
##mode_worldeditor_terrain_plateau_brush,Pinceau à Aplanissement
##mode_worldeditor_terrain_plateau_brush_lockheight,Verrouiller la Hauteur
,
##mode_worldeditor_terrain_smooth,Lisser
##mode_worldeditor_terrain_smooth_help,Lisse l'Ile.
##mode_worldeditor_terrain_smooth_brush,Pinceau à Lissage
,
##mode_worldeditor_terrain_grass,Gazon
##mode_worldeditor_terrain_grass_help,Ajoute ou enlève du gazon.
##mode_worldeditor_terrain_grass_brush,Pinceau à Gazon
,
##mode_worldeditor_terrain_tree,Arbre
##mode_worldeditor_terrain_tree_help,Ajoute ou enlève des arbres.
##mode_worldeditor_terrain_tree_brush,Pinceau à Arbres
,
##mode_worldeditor_terrain_plant,Plante
##mode_worldeditor_terrain_plant_help,Ajoute ou enlève des plantes
##mode_worldeditor_terrain_plant_brush,Pinceau à Plantes
##mode_worldeditor_terrain_plant_brush_onlyongrass,Seulement sur du gazon.
##mode_worldeditor_terrain_planttype,Type de Plante
##mode_worldeditor_terrain_plant1,Siderasis
##mode_worldeditor_terrain_plant2,Polygatum
##mode_worldeditor_terrain_plant3,Monstera
##mode_worldeditor_terrain_plant4,Trille
##mode_worldeditor_terrain_plant5,Hosta
##mode_worldeditor_terrain_plant6,Aloès
##mode_worldeditor_terrain_desertplant1,Siderasis
##mode_worldeditor_terrain_desertplant2,Opuntia
##mode_worldeditor_terrain_desertplant3,Salicorne
##mode_worldeditor_terrain_desertplant4,Trille
##mode_worldeditor_terrain_desertplant5,Hosta
##mode_worldeditor_terrain_desertplant6,Aloès
##mode_worldeditor_terrain_winterplant1,Siderasis
##mode_worldeditor_terrain_winterplant2,Busserole
##mode_worldeditor_terrain_winterplant3,Artemisia
##mode_worldeditor_terrain_winterplant4,Trille
##mode_worldeditor_terrain_winterplant5,Cerastium
##mode_worldeditor_terrain_winterplant6,Aloès
,
##mode_worldeditor_terrain_boulder,Rocher
##mode_worldeditor_terrain_boulder_help,Ajoute ou enlève des rochers.
##mode_worldeditor_terrain_boulder_brush,Pinceau à Rochers
,
##mode_worldeditor_terrain_iron,Fer
##mode_worldeditor_terrain_iron_help,Ajoute ou enlève du fer.
##mode_worldeditor_terrain_iron_brush,Pinceau à Fer
,
##mode_worldeditor_terrain_brimstone,Soufre
##mode_worldeditor_terrain_brimstone_help,Ajoute ou enlève du soufre
##mode_worldeditor_terrain_brimstone_brush,Pinceau à Soufre
,
##mode_worldeditor_terrain_brush_size,Taille
##mode_worldeditor_terrain_brush_intensity,Intensité
##mode_worldeditor_terrain_brush_leveloverride,Moyenne au nivelage
##mode_worldeditor_terrain_brush_useoverride,Utiliser la moyenne au nivelage
##mode_worldeditor_terrain_brush_edgedistance,Distance de la bordure
,
##mode_worldeditor_markers,Marqueurs
##mode_worldeditor_markers_player,Joueur
##mode_worldeditor_markers_player_spawns,Points de Départ du Joueur
##mode_worldeditor_markers_player_marker,Cristal - Point de Départ du Joueur
##mode_worldeditor_markers_player_help,Ajoute ou enlève des points de départ pour le joueur.
,
##mode_worldeditor_markers_crystal,Cristal
##mode_worldeditor_markers_crystal_locations,Cristaux
##mode_worldeditor_markers_crystal_marker,Fragment
##mode_worldeditor_markers_crystal_help,Ajoute ou enlève des cristaux.
,
##mode_worldeditor_markers_enemy,Ennemi
##mode_worldeditor_markers_enemy_spawns,Points de Départ Ennemi
##mode_worldeditor_markers_enemy_marker,Point de Départ Ennemi
##mode_worldeditor_markers_enemy_help,Ajoute ou enlève des points de Départ pour Corruptrons.
,
##mode_worldeditor_time,Temps
##mode_worldeditor_time_pause,Pause
##mode_worldeditor_time_now,Maintenant
,
##mode_worldeditor_map,Carte
##mode_worldeditor_map_preview,Prévisualisation
,
##mode_worldeditor_grid,Grille
##mode_worldeditor_grid_visible,Visible
##mode_worldeditor_grid_opacity,Opacité
##mode_worldeditor_grid_heightlocks,Hauteur basée sur la caméra
##mode_worldeditor_grid_height,Hauteur
,
##mode_worldeditor_modes,Modes
##mode_worldeditor_modes_requirements,Requis
##mode_worldeditor_modes_playerstart,Point de Départ du Joueur
##mode_worldeditor_modes_corruptronspawn,Point de Départ des Corruptrons
,
##mode_worldeditor_save,Sauvegarder
##mode_worldeditor_save_title,Titre & Description
##mode_worldeditor_save_update,Mise à Jour
,
##mode_worldeditor_workshop_steam,Steam Workshop
##mode_worldeditor_workshop,Workshop
##mode_worldeditor_workshop_notes,Steam Workshop: Changements
##mode_worldeditor_workshop_notes_info,Spécifiez vos changements apportés à cette version de l'item.
##mode_worldeditor_workshop_csonsteam,Castle Story sur Steam
##mode_worldeditor_workshop_info,Info
##mode_worldeditor_workshop_info_text,Utilisez le Steam Workshop pour partagez vos cartes facilement.
##mode_worldeditor_workshop_visibility,Visibilité
##mode_worldeditor_workshop_visibility_private,Privé
##mode_worldeditor_workshop_visibility_friends,Amis
##mode_worldeditor_workshop_visibility_public,Publique
##mode_worldeditor_workshop_savecreate,"Sauvegarder, Créer et Publier."
##mode_worldeditor_workshop_savepublish,Sauvegarder et Publier
##mode_worldeditor_workshop_publishmenu_publish,Publier
##mode_worldeditor_workshop_publishmenu_cancel,Annuler
##mode_worldeditor_workshop_publishmenu_warnings,Alertes
##mode_worldeditor_workshop_publishmenu_cannotpublish,Impossible de sauvegarder:
##mode_worldeditor_workshop_publishmenu_invalidtitle,Titre invalide.
##mode_worldeditor_workshop_disabled_error,Erreur
##mode_worldeditor_workshop_disabled_error_text,Ouvrez Steam et connectez-vous sur le Workshop pour publier.
##mode_worldeditor_workshop_steamworkshop_gotoitem,Ouvrir l'item sur le Workshop
##mode_worldeditor_workshop_steamworkshop_done,Terminé
##mode_worldeditor_workshop_none,Aucun
##mode_worldeditor_workshop_error,Erreur
##mode_worldeditor_workshop_error_eula_info,"Une erreur est survenue lors du processus de chargement de votre item sur le Workshop.\n<b>Steam vous demande de bien vouloir signer leurs termes et conditions du contrat de licence destiné à l'utilisateur final (CLUF).</b>\n\nSi le boutton ci-bas ne fonctionne pas, visitez le:\nhttp://steamcommunity.com/workshop/workshoplegalagreement/?appid=227860"
##mode_worldeditor_workshop_error_eula_open,Ouvrir le CLUF dans Steam
##mode_worldeditor_workshop_error_eula_ok,Ok
##mode_worldeditor_workshop_item_open,Ouvrir la page de l'item dans Steam
##mode_worldeditor_workshop_item,Item
##mode_worldeditor_workshop_publish_info,Veuillez patienter...\nVotre item est en processus de création et de publication vers le Steam Workshop.
##mode_worldeditor_workshop_saved,Sauvegardé sur le disque.
##mode_worldeditor_workshop_created,Créé sur le Workshop.
##mode_worldeditor_workshop_creating,En création sur le Workshop...
##mode_worldeditor_workshop_published,Publié sur le Workshop.
##mode_worldeditor_workshop_publishing,En publication sur le Workshop...
##mode_worldeditor_workshop_error_timeoutcreate,Erreur: Échec lors de la création
##mode_worldeditor_workshop_error_timeoutcreate_info,La création a échoué. Le délai d'attente maximal a été rencontré (> #xs).
##mode_worldeditor_workshop_error_timeoutpublish,Erreur: Échec lors de la publication
##mode_worldeditor_workshop_error_timeoutpublish_info,La publication a échoué. Le délai d'attente maximal a été rencontré (> #xs).
##mode_worldeditor_workshop_error_publish,Erreur: Échec lors de la publication
##mode_worldeditor_workshop_error_publish_info,La publication a échoué.\nL'erreur reçue est la suivante: <b>#x</b>.\nLe workshop de Castle Story est en beta. Veuillez nous envoyer cette erreur pour que nous puissions vous aider.
##mode_worldeditor_workshop_error_ok,Ok
,
##mode_worldeditor_letters,Lettres
,
##mode_worldeditor_actions,Actions
##mode_worldeditor_options,Options
##mode_worldeditor_help,Aide
##mode_worldeditor_close,Fermer
,
OPTIONS,
##mainmenu_options,Options
##mainmenu_options_apply,Appliquer
##mainmenu_options_back,Retour
##mainmenu_options_settings,Réglages
##mainmenu_options_settings_info,Options générales
,
##mainmenu_options_general,Général
##mainmenu_options_general_info,Paramètres généraux
##mainmenu_options_general_welcomescreen,Écran de bienvenue
##mainmenu_options_general_welcomescreen_info,Montrer l'écran de bienvenue en début de partie
##mainmenu_options_general_showhelpatgamestart,Astuces
##mainmenu_options_general_showhelpatgamestart_info,Montrer les astuces contextuelles
##mainmenu_options_general_pausegame,Pause lorsque hors fenêtre
##mainmenu_options_general_pausegame_info,Mettre sur pause lorsque hors fenêtre
##mainmenu_options_general_specialassets,Objets thématiques
##mainmenu_options_general_specialassets_info,Activer les objets thématiques (ex: durant les fêtes)
##mainmenu_options_general_gamemodes,Modes de jeu non supportés
##mainmenu_options_general_gamemodes_info,Afficher les modes de jeu non supportés
##mainmenu_options_general_enabledebugmode,Mode Débogage
##mainmenu_options_general_enabledebugmode_info,Activer le mode Débogage
,
##mainmenu_options_graphics,Graphiques
##mainmenu_options_graphics_info,Paramètres visuels
##mainmenu_options_graphics_fullscreen,Plein Écran
##mainmenu_options_graphics_fullscreen_info,Plein écran ou format fenêtre
##mainmenu_options_graphics_screenresolution,Résolution
##mainmenu_options_graphics_screenresolution_info,Ajustez la résolution de votre écran
##mainmenu_options_graphics_quality,Qualité des Graphiques
##mainmenu_options_graphics_quality_standard,Standard
##mainmenu_options_graphics_framecap,Cadence d'Images Limite
##mainmenu_options_graphics_framecap_info,Limitez la cadence d'images à un IPS spécifique
##mainmenu_options_graphics_framecap_unlimited,Illimité
##mainmenu_options_graphics_framecap_fps,IPS
##mainmenu_options_graphics_levelofdetail,Niveau de Détail
##mainmenu_options_graphics_levelofdetail_info,La distance à laquelle le jeu réduit la qualité du terrain
##mainmenu_options_graphics_levelofdetail_low,Bas
##mainmenu_options_graphics_levelofdetail_medium,Moyen
##mainmenu_options_graphics_levelofdetail_high,Élevé
##mainmenu_options_graphics_terrain,Accélération du Terrain
##mainmenu_options_graphics_terrain_info,Basculez l'accélération faite par la carte graphique au niveau du calcul de terrain
##mainmenu_options_graphics_terrain_autodetect,Auto-détection
##mainmenu_options_graphics_terrain_autodetect_info,"Dans ce mode, le multi-threading ne sera utilisé pour calculer le terrain que si votre ordinateur est assez puissant."
##mainmenu_options_graphics_terrain_never,Jamais
##mainmenu_options_graphics_terrain_never_info,"Dans ce mode, le multi-threading ne sera jamais utilisé pour calculer le terrain."
##mainmenu_options_graphics_terrain_always,Toujours
##mainmenu_options_graphics_terrain_always_info,"Dans ce mode, le multi-threading sera toujours utilisé pour calculer le terrain. Si votre ordinateur ne rencontre pas les requis minimaux, vous pourriez rencontrer une multitude de comportements non souhaités."
##mainmenu_options_graphics_fogofwar,Opacité du Brouillard de Guerre
##mainmenu_options_graphics_fogofwar_info,Ajustez l'opacité du brouillard de guerre
##mainmenu_options_graphics_canvasscale,Échelle de taille de l'IU
##mainmenu_options_graphics_canvasscale_info,Ajuster l'échelle de taille de l'interface usager (IU)
##mainmenu_options_graphics_ssao,Occlusion ambiante
##mainmenu_options_graphics_ssao_info,Changez la qualité de l'effet d'ombres volumétriques.
##mainmenu_options_graphics_ssao_high,Maximale
##mainmenu_options_graphics_ssao_medium,Intermédiaire
##mainmenu_options_graphics_ssao_low,Limitée
##mainmenu_options_graphics_ssao_off,Désactivée
##mainmenu_options_graphics_bloom,Flou lumineux
##mainmenu_options_graphics_bloom_info,Activez l'effet de flou lumineux.
##mainmenu_options_graphics_colorcorrection,Correction des couleurs
##mainmenu_options_graphics_colorcorrection_info,Activez l'effet de balance des couleurs.
##mainmenu_options_graphics_shadowquality,Ombres
##mainmenu_options_graphics_shadowquality_info,Changez la qualité des contours d'ombres (les silhouettes demandent plus de performance).
##mainmenu_options_graphics_shadowquality_all,Contours et silhouettes
##mainmenu_options_graphics_shadowquality_hardonly,Contours seulement
##mainmenu_options_graphics_shadowquality_disable,Désactivées
##mainmenu_options_graphics_shadowresolution,Résolution des ombres
##mainmenu_options_graphics_shadowresolution_info,Changez la résolution des ombres affichées dans le jeu s'il y a lieu.
##mainmenu_options_graphics_shadowresolution_veryhigh,Très élevée
##mainmenu_options_graphics_shadowresolution_high,Élevée
##mainmenu_options_graphics_shadowresolution_medium,Intermédiaire
##mainmenu_options_graphics_shadowresolution_low,Limitée
,
##mainmenu_options_audio,Audio
##mainmenu_options_audio_info,Paramètres audio
##mainmenu_options_audio_mastervolume,Volume maître
##mainmenu_options_audio_mastervolume_info,Ajustez le volume de toute la musique et des sons
##mainmenu_options_audio_muteallsounds,Couper tous les sons
##mainmenu_options_audio_muteallsounds_info,Basculez la coupure de toute la musique et des sons
##mainmenu_options_audio_userinterface,Interface Usager
##mainmenu_options_audio_userinterface_info,Ajustez le volume de l'interface usager
##mainmenu_options_audio_soundeffects,Effets Sonores
##mainmenu_options_audio_soundeffects_info,Ajustez le volume des effets spéciaux
##mainmenu_options_audio_voices,Voix
##mainmenu_options_audio_voices_info,Ajustez le volume des voix
##mainmenu_options_audio_environment,Environnement
##mainmenu_options_audio_environment_info,Ajustez le volume des sons environnants
##mainmenu_options_audio_music,Musique
##mainmenu_options_audio_music_info,Ajustez le volume de la musique
,
##mainmenu_options_gameplay,Jouabilité
##mainmenu_options_gameplay_info,Paramètres de jouabilité
,
##mainmenu_options_networkport,Port multijoueur
##mainmenu_options_networkport_info,Assigner votre port multijoueur
,
##mainmenu_options_language,Langue
##mainmenu_options_language_info,Choisissez votre langue
##mainmenu_options_languages,Langues
##mainmenu_options_language_ok,Ok
