Keys,English (Canada)
##mainmenu_multiplayer_lobby_player_kicked, has been kicked by the host.
##mainmenu_multiplayer_chatbox_intro,"Press ""Enter"" to chat with other players."
##mainmenu_multiplayer_chatbox_player_left,has left the game.
##mainmenu_multiplayer_chatbox_entertext,Enter text...
,
##mainmenu_multiplayer_error_playerkicked,You were kicked by the host.\n(NetworkError.PlayerKicked)
##mainmenu_multiplayer_error_badmessage,Not a data message.\n(NetworkError.BadMessage)
##mainmenu_multiplayer_error_crcmismatch,The ConnectionConfig does not match the other endpoint.\n(NetworkError.CRCMismatch)
##mainmenu_multiplayer_error_dnsfailure,The address supplied to connect to was invalid or could not be resolved.\n(NetworkError.DNSFailure)
##mainmenu_multiplayer_error_messagetoolong,The message is too long to fit the buffer.\n(NetworkError.MessageTooLong)
##mainmenu_multiplayer_error_noresources,Not enough resources are available to process this request.\n(NetworkError.NoResources)
##mainmenu_multiplayer_error_timeout,Connection timed out.\n(NetworkError.Timeout)
##mainmenu_multiplayer_error_usageerror,A function was called with inappropriate parameter values.\n(NetworkError.UsageError)
##mainmenu_multiplayer_error_versionmismatch,The protocol versions are not compatible. Bad library versions?\n(NetworkError.VersionMismatch)
##mainmenu_multiplayer_error_wrongchannel,The specified channel doesn't exist.\n(NetworkError.WrongChannel)
##mainmenu_multiplayer_error_wrongconnection,The specified connectionId doesn't exist.\n(NetworkError.WrongConnection)
##mainmenu_multiplayer_error_wronghost,The specified host not available.\n(NetworkError.WrongHost)
##mainmenu_multiplayer_error_wrongoperation,Operation is not supported.\n(NetworkError.WrongOperation)
##mainmenu_multiplayer_error_ok,Ok
,
##mainmenu_multiplayer_hosting,Hosting Game
##mainmenu_multiplayer_abort,Abort
,
##mainmenu_creditisland,Credit Island
##mainmenu_creditisland_info,In honor of our backers!
,
WORLD EDITOR,
##mode_worldeditor_terrain,Terrain
##mode_worldeditor_terrain_island,Island
##mode_worldeditor_terrain_island_help,"Adds, levels or removes island."
##mode_worldeditor_terrain_island_islandbrush,Island Brush
##mode_worldeditor_terrain_island_islandbrush_dontcreate,Don't create
##mode_worldeditor_terrain_island_islandbrush_dontlower,Don't lower
##mode_worldeditor_terrain_island_islandbrush_dontraise,Don't raise
,
##mode_worldeditor_terrain_underside,Underside
##mode_worldeditor_terrain_underside_help,Generates island underside.
##mode_worldeditor_terrain_underside_actions,Underside Actions
##mode_worldeditor_terrain_underside_actions_generate,Generate Underside
##mode_worldeditor_terrain_underside_options,Underside Options
##mode_worldeditor_terrain_underside_options_thickness,Thickness
##mode_worldeditor_terrain_underside_options_randomness,Randomness
##mode_worldeditor_terrain_underside_options_level,Level:
##mode_worldeditor_terrain_underside_options_level_fromcamera,From Camera
##mode_worldeditor_terrain_underside_options_level_fromgrid,From Grid
##mode_worldeditor_terrain_underside_options_level_custom,Custom
##mode_worldeditor_terrain_underside_options_calculatedbounds,Calculated Bounds
##mode_worldeditor_terrain_underside_options_alignment,Alignment
##mode_worldeditor_terrain_underside_options_alignment_none,None
##mode_worldeditor_terrain_underside_options_alignment_top,Top
##mode_worldeditor_terrain_underside_options_alignment_middle,Middle
##mode_worldeditor_terrain_underside_options_alignment_bottom,Bottom
##mode_worldeditor_terrain_terraintype,Terrain Type
##mode_worldeditor_terrain_grass,Grass
##mode_worldeditor_terrain_snow,Snow
##mode_worldeditor_terrain_pavement,Pavement
##mode_worldeditor_terrain_thickgrass,Thick Grass
##mode_worldeditor_terrain_clover,Clover
##mode_worldeditor_terrain_parchedearth,Parched Earth
##mode_worldeditor_terrain_coarsesand,Coarse Sand
##mode_worldeditor_terrain_sand,Sand
##mode_worldeditor_terrain_finesand,Fine Sand
##mode_worldeditor_terrain_compactedsnow,Frosted Path
##mode_worldeditor_terrain_powderysnow,Blizzard Dunes
##mode_worldeditor_terrain_crunchysnow,Packed Powder
##mode_worldeditor_terrain_stickysnow,Fresh Snow
,
##mode_worldeditor_terrain_elevation,Elevation
##mode_worldeditor_terrain_elevation_help,Adds or remove island volume.
##mode_worldeditor_terrain_elevation_brush,Elevation Brush
,
##mode_worldeditor_terrain_plateau,Plateau
##mode_worldeditor_terrain_plateau_help,Plateau's island volume.
##mode_worldeditor_terrain_plateau_brush,Plateau Brush
##mode_worldeditor_terrain_plateau_brush_lockheight,Lock Height
,
##mode_worldeditor_terrain_smooth,Smooth
##mode_worldeditor_terrain_smooth_help,Smoothes island volume.
##mode_worldeditor_terrain_smooth_brush,Smooth Brush
,
##mode_worldeditor_terrain_grass,Grass
##mode_worldeditor_terrain_grass_help,Adds or removes grass.
##mode_worldeditor_terrain_grass_brush,Grass Brush
,
##mode_worldeditor_terrain_tree,Tree
##mode_worldeditor_terrain_tree_help,Adds or removes trees.
##mode_worldeditor_terrain_tree_brush,Tree Brush
,
##mode_worldeditor_terrain_plant,Plant
##mode_worldeditor_terrain_plant_help,Adds or removes plants.
##mode_worldeditor_terrain_plant_brush,Plant Brush
##mode_worldeditor_terrain_plant_brush_onlyongrass,Only on grass
##mode_worldeditor_terrain_planttype,Plant Type
##mode_worldeditor_terrain_plant1,Siderasis
##mode_worldeditor_terrain_plant2,Polygatum
##mode_worldeditor_terrain_plant3,Monstera
##mode_worldeditor_terrain_plant4,Trillium
##mode_worldeditor_terrain_plant5,Hosta
##mode_worldeditor_terrain_plant6,Aloe
##mode_worldeditor_terrain_desertplant1,Siderasis
##mode_worldeditor_terrain_desertplant2,Opuntia
##mode_worldeditor_terrain_desertplant3,Salicornia
##mode_worldeditor_terrain_desertplant4,Trillium
##mode_worldeditor_terrain_desertplant5,Hosta
##mode_worldeditor_terrain_desertplant6,Aloe
##mode_worldeditor_terrain_winterplant1,Siderasis
##mode_worldeditor_terrain_winterplant2,Busserole
##mode_worldeditor_terrain_winterplant3,Artemisia
##mode_worldeditor_terrain_winterplant4,Trillium
##mode_worldeditor_terrain_winterplant5,Cerastium
##mode_worldeditor_terrain_winterplant6,Aloe
,
##mode_worldeditor_terrain_boulder,Boulder
##mode_worldeditor_terrain_boulder_help,Adds or removes boulders.
##mode_worldeditor_terrain_boulder_brush,Boulder Brush
,
##mode_worldeditor_terrain_iron,Iron
##mode_worldeditor_terrain_iron_help,Adds or removes iron.
##mode_worldeditor_terrain_iron_brush,Iron Brush
,
##mode_worldeditor_terrain_brimstone,Brimstone
##mode_worldeditor_terrain_brimstone_help,Adds or removes brimstone.
##mode_worldeditor_terrain_brimstone_brush,Brimstone Brush
,
##mode_worldeditor_terrain_brush_size,Size
##mode_worldeditor_terrain_brush_intensity,Intensity
##mode_worldeditor_terrain_brush_leveloverride,Level override
##mode_worldeditor_terrain_brush_useoverride,Use level override
##mode_worldeditor_terrain_brush_edgedistance,Edge distance
,
##mode_worldeditor_markers,Markers
##mode_worldeditor_markers_player,Player
##mode_worldeditor_markers_player_spawns,Player Spawns
##mode_worldeditor_markers_player_marker,Crystal - Player Spawn
##mode_worldeditor_markers_player_help,Adds or removes players spawns
,
##mode_worldeditor_markers_crystal,Crystal
##mode_worldeditor_markers_crystal_locations,Crystals
##mode_worldeditor_markers_crystal_marker,Shard
##mode_worldeditor_markers_crystal_help,Adds or removes crystals
,
##mode_worldeditor_markers_enemy,Enemy
##mode_worldeditor_markers_enemy_spawns,Enemy Spawns
##mode_worldeditor_markers_enemy_marker,Corruptron Spawn Point
##mode_worldeditor_markers_enemy_help,Adds or removes Corruptron spawns.
,
##mode_worldeditor_time,Time
##mode_worldeditor_time_pause,Pause
##mode_worldeditor_time_now,Now
,
##mode_worldeditor_map,Map
##mode_worldeditor_map_preview,Preview
,
##mode_worldeditor_grid,Grid
##mode_worldeditor_grid_visible,Visible
##mode_worldeditor_grid_opacity,Opacity
##mode_worldeditor_grid_heightlocks,Height locks to camera
##mode_worldeditor_grid_height,Height
,
##mode_worldeditor_modes,Modes
##mode_worldeditor_modes_requirements,Requirements
##mode_worldeditor_modes_playerstart,Player Starting Point
##mode_worldeditor_modes_corruptronspawn,Corruptron Spawn Point
,
##mode_worldeditor_save,Save
##mode_worldeditor_save_title,Title & Description
##mode_worldeditor_save_update,Update
,
##mode_worldeditor_workshop_steam,Steam Workshop
##mode_worldeditor_workshop,Workshop
##mode_worldeditor_workshop_notes,Steam Workshop: Release Notes
##mode_worldeditor_workshop_notes_info,Type in your changes to this version of the item.
##mode_worldeditor_workshop_csonsteam,Castle Story on Steam
##mode_worldeditor_workshop_info,Info
##mode_worldeditor_workshop_info_text,Use the Steam Workshop to easily share and update your maps created using the world editor.
##mode_worldeditor_workshop_visibility,Visibility
##mode_worldeditor_workshop_visibility_private,Private
##mode_worldeditor_workshop_visibility_friends,Friends
##mode_worldeditor_workshop_visibility_public,Public
##mode_worldeditor_workshop_savecreate,"Save, Create and publish"
##mode_worldeditor_workshop_savepublish,Save and Publish
##mode_worldeditor_workshop_publishmenu_publish,Publish
##mode_worldeditor_workshop_publishmenu_cancel,Cancel
##mode_worldeditor_workshop_publishmenu_warnings,Warnings
##mode_worldeditor_workshop_publishmenu_cannotpublish,Cannot save:
##mode_worldeditor_workshop_publishmenu_invalidtitle,Invalid title.
##mode_worldeditor_workshop_disabled_error,Error
##mode_worldeditor_workshop_disabled_error_text,Open Steam and login to your account to publish on the Workshop.
##mode_worldeditor_workshop_steamworkshop_gotoitem,Go to item on Workshop
##mode_worldeditor_workshop_steamworkshop_done,Done
##mode_worldeditor_workshop_none,None
##mode_worldeditor_workshop_error,Error
##mode_worldeditor_workshop_error_eula_info,"Could not send item to Workshop.\n<b>Steam is requesting that you agree to their legal agreement (EULA).</b>\n\nIf the button below does not work, please go to:\nhttp://steamcommunity.com/workshop/workshoplegalagreement/?appid=227860"
##mode_worldeditor_workshop_error_eula_open,Open the EULA in Steam
##mode_worldeditor_workshop_error_eula_ok,Ok
##mode_worldeditor_workshop_item_open,Open the item page in Steam
##mode_worldeditor_workshop_item,Item
##mode_worldeditor_workshop_publish_info,Please wait...\nYour item is being created on and published to the Steam Workshop.
##mode_worldeditor_workshop_saved,Saved to disk.
##mode_worldeditor_workshop_created,Created on Workshop.
##mode_worldeditor_workshop_creating,Creating on Workshop...
##mode_worldeditor_workshop_published,Published on Workshop.
##mode_worldeditor_workshop_publishing,Publishing on Workshop...
##mode_worldeditor_workshop_error_timeoutcreate,Error: Could not create
##mode_worldeditor_workshop_error_timeoutcreate_info,Timeout while creating (> #xs).
##mode_worldeditor_workshop_error_timeoutpublish,Error: Could not publish
##mode_worldeditor_workshop_error_timeoutpublish_info,Timeout while publishing (> #xs).
##mode_worldeditor_workshop_error_publish,Error: Could not publish
##mode_worldeditor_workshop_error_publish_info,"Could not upload to Steam Workshop.\nReceived error: <b>#x</b>.\nCastle Story's workshop is still in beta, please send this error the the developers so we can help you."
##mode_worldeditor_workshop_error_ok,Ok
,
##mode_worldeditor_letters,Letters
,
##mode_worldeditor_actions,Actions
##mode_worldeditor_options,Options
##mode_worldeditor_help,Help
##mode_worldeditor_close,Close
,
OPTIONS,
##mainmenu_options,Options
##mainmenu_options_apply,Apply
##mainmenu_options_back,Back
##mainmenu_options_settings,Settings
##mainmenu_options_settings_info,General options
,
##mainmenu_options_general,General
##mainmenu_options_general_info,General game settings
##mainmenu_options_general_welcomescreen,Welcome screen
##mainmenu_options_general_welcomescreen_info,Show welcome screen at game start
##mainmenu_options_general_showhelpatgamestart,Help Popups
##mainmenu_options_general_showhelpatgamestart_info,Enable contextual help popups
##mainmenu_options_general_pausegame,Pause when out of focus
##mainmenu_options_general_pausegame_info,Pause game when window loses focus
##mainmenu_options_general_specialassets,Special assets
##mainmenu_options_general_specialassets_info,Show special thematic assets (eg. during the holidays)
##mainmenu_options_general_gamemodes,Unsupported game modes
##mainmenu_options_general_gamemodes_info,Show unsupported game modes
##mainmenu_options_general_enabledebugmode,Debug mode
##mainmenu_options_general_enabledebugmode_info,Enable Debug mode
,
##mainmenu_options_graphics,Graphics
##mainmenu_options_graphics_info,Graphics game settings
##mainmenu_options_graphics_fullscreen,Fullscreen
##mainmenu_options_graphics_fullscreen_info,Fullscreen or windowed
##mainmenu_options_graphics_screenresolution,Screen Resolution
##mainmenu_options_graphics_screenresolution_info,Set your screen resolution
##mainmenu_options_graphics_quality,Quality Settings
##mainmenu_options_graphics_quality_standard,Standard
##mainmenu_options_graphics_framecap,Framerate limit
##mainmenu_options_graphics_framecap_info,Limit the game framerate to a specific FPS
##mainmenu_options_graphics_framecap_unlimited,Unlimited
##mainmenu_options_graphics_framecap_fps,FPS
##mainmenu_options_graphics_levelofdetail,Level of Detail
##mainmenu_options_graphics_levelofdetail_info,The distance at which the game will lower terrain detail
##mainmenu_options_graphics_levelofdetail_low,Low
##mainmenu_options_graphics_levelofdetail_medium,Medium
##mainmenu_options_graphics_levelofdetail_high,High
##mainmenu_options_graphics_terrain,Terrain Acceleration
##mainmenu_options_graphics_terrain_info,Toggle GPU acceleration for terrain data
##mainmenu_options_graphics_terrain_autodetect,Autodetect
##mainmenu_options_graphics_terrain_autodetect_info,"In this mode, multi-threading will be used only when optimal system requirements are met."
##mainmenu_options_graphics_terrain_never,Never
##mainmenu_options_graphics_terrain_never_info,"In this mode, multi-threading will never be used to accelerate the processing of voxel terrain."
##mainmenu_options_graphics_terrain_always,Always
##mainmenu_options_graphics_terrain_always_info,"In this mode, multi-threading will always be used to accelerate the processing of voxel terrain. If minimal system requirements are not met, you may experience unpredictable terrain behavior."
##mainmenu_options_graphics_fogofwar,Fog of War Opacity
##mainmenu_options_graphics_fogofwar_info,Set the fog of war opacity
##mainmenu_options_graphics_canvasscale,UI Scale
##mainmenu_options_graphics_canvasscale_info,Set the scale of the user interface (UI)
##mainmenu_options_graphics_ssao,Ambient Occlusion
##mainmenu_options_graphics_ssao_info,Set the quality of volume shadows screen space effect.
##mainmenu_options_graphics_ssao_high,High
##mainmenu_options_graphics_ssao_medium,Medium
##mainmenu_options_graphics_ssao_low,Low
##mainmenu_options_graphics_ssao_off,Off
##mainmenu_options_graphics_bloom,Light Bloom
##mainmenu_options_graphics_bloom_info,Enable or disable HDR light bloom screen effect.
##mainmenu_options_graphics_colorcorrection,Color Correction
##mainmenu_options_graphics_colorcorrection_info,Enable or disable color remapping screen effect.
##mainmenu_options_graphics_shadowquality,Shadow Sharpness
##mainmenu_options_graphics_shadowquality_info,Set the quality of shadow outlines (soft shadows are more expensive).
##mainmenu_options_graphics_shadowquality_all,Hard and Soft
##mainmenu_options_graphics_shadowquality_hardonly,Hard Only
##mainmenu_options_graphics_shadowquality_disable,Disabled
##mainmenu_options_graphics_shadowresolution,Shadow Resolution
##mainmenu_options_graphics_shadowresolution_info,Set the resolution of shadow effects (higher resolution is more expensive).
##mainmenu_options_graphics_shadowresolution_veryhigh,Very High
##mainmenu_options_graphics_shadowresolution_high,High
##mainmenu_options_graphics_shadowresolution_medium,Medium
##mainmenu_options_graphics_shadowresolution_low,Low
,
##mainmenu_options_audio,Audio
##mainmenu_options_audio_info,Audio game settings
##mainmenu_options_audio_mastervolume,Master Volume
##mainmenu_options_audio_mastervolume_info,Set the overall volume of all music and sounds
##mainmenu_options_audio_muteallsounds,Mute all sounds
##mainmenu_options_audio_muteallsounds_info,Toggle mute on all music and sounds
##mainmenu_options_audio_userinterface,User interface
##mainmenu_options_audio_userinterface_info,Set the sound level for UI
##mainmenu_options_audio_soundeffects,Sound Effects
##mainmenu_options_audio_soundeffects_info,Set the volume for SFX
##mainmenu_options_audio_voices,Voices
##mainmenu_options_audio_voices_info,Set the volume for voices
##mainmenu_options_audio_environment,Environment
##mainmenu_options_audio_environment_info,Set the volume for environmental sounds
##mainmenu_options_audio_music,Music
##mainmenu_options_audio_music_info,Set the music volume
,
##mainmenu_options_gameplay,Gameplay
##mainmenu_options_gameplay_info,Gameplay settings
,
##mainmenu_options_networkport,Multiplayer port
##mainmenu_options_networkport_info,Set your multiplayer port
,
##mainmenu_options_language,Language
##mainmenu_options_language_info,Set your language
##mainmenu_options_languages,Languages
##mainmenu_options_language_ok,Ok
##mainmenu_options_language_cancel,Cancel
##mainmenu_options_language_english,English
##mainmenu_options_language_english_english,English
##mainmenu_options_language_french,French
##mainmenu_options_language_french_english,French
,
##mainmenu_options_mouseinput,Mouse Input
##mainmenu_options_mouseinput_scrollfactor,Mouse scroll factor
##mainmenu_options_mouseinput_scrollfactor_info,Set the mouse scroll speed factor
##mainmenu_options_mouseinput_invertscroll,Invert mouse scroll
##mainmenu_options_mouseinput_invertscroll_info,Toggle inversion of mouse scroll
##mainmenu_options_mouseinput_lockinside,Lock mouse
##mainmenu_options_mouseinput_lockinside_info,Lock mouse inside game window
##mainmenu_options_mouseinput_edgenudge,Mouse screen edge nudge
##mainmenu_options_mouseinput_edgenudge_info,Toggle mouse screen edge nudge
,
##mainmenu_options_keybindings,Key Bindings
##mainmenu_options_keybindings_info,Set your key bindings
,
##mainmenu_options_keybindings_command,Global
##mainmenu_options_keybindings_command_info,Camera and selection
##mainmenu_options_keybindings_taskpanel,Task Panel
##mainmenu_options_keybindings_taskpanel_info,Selecting a task
##mainmenu_options_keybindings_blocks,Blocks
##mainmenu_options_keybindings_blocks_info,Selecting a block
##mainmenu_options_keybindings_structures,Structures
##mainmenu_options_keybindings_structures_info,Selecting a structure
##mainmenu_options_keybindings_worldeditor,World Editor
##mainmenu_options_keybindings_worldeditor_info,Exclusive to the world editor
##mainmenu_options_keybindings_crafting,Crafting
##mainmenu_options_keybindings_crafting_info,Crafting stations related
##mainmenu_options_keybindings_blueprint,Blueprint
##mainmenu_options_keybindings_blueprint_info,Blueprint management mode
##mainmenu_options_keybindings_taskselected,Task Selected
##mainmenu_options_keybindings_taskselected_info,Generic task actions
,
##mainmenu_options_keybindings_primary,Primary
##mainmenu_options_keybindings_alternate,Alternate
##mainmenu_options_keybindings_moveforward,Move Camera Forward
##mainmenu_options_keybindings_movebackward,Move Camera Backward
##mainmenu_options_keybindings_moveleft,Move Camera Left
##mainmenu_options_keybindings_moveright,Move Camera Right
##mainmenu_options_keybindings_rotateup,Rotate Up
##mainmenu_options_keybindings_rotatedown,Rotate Down
##mainmenu_options_keybindings_rotateleft,Rotate Left
##mainmenu_options_keybindings_rotateright,Rotate Right
##mainmenu_options_keybindings_toggleautoground,Snap Camera to Ground
##mainmenu_options_keybindings_zoomin,Zoom In
##mainmenu_options_keybindings_zoomout,Zoom Out
##mainmenu_options_keybindings_moveup,Move Camera Up
##mainmenu_options_keybindings_movedown,Move Camera Down
##mainmenu_options_keybindings_mousemovement,Camera Free Movement
##mainmenu_options_keybindings_mousealtaction,Mouse Action Modifier 1
##mainmenu_options_keybindings_mousesecondary,Mouse Action Modifier 2
##mainmenu_options_keybindings_displayoverheads,Display Overheads
##mainmenu_options_keybindings_togglebuildmode,Toggle Build Mode
##mainmenu_options_keybindings_mouseaction1,Mouse Action 1
##mainmenu_options_keybindings_mouseaction2,Mouse Action 2
##mainmenu_options_keybindings_mouserotate,Camera Free Rotate
##mainmenu_options_keybindings_bricktronhold,Bricktron: Hold
##mainmenu_options_keybindings_bricktronstop,Stop
##mainmenu_options_keybindings_bricktronstance,Toggle Stance
##mainmenu_options_keybindings_pause,Pause the Game
##mainmenu_options_keybindings_selectproject1,Select Project 1
##mainmenu_options_keybindings_selectproject2,Select Project 2
##mainmenu_options_keybindings_selectproject3,Select Project 3
